date,description,montant
2026-01-03,Boulangerie,-7.63
2026-01-04,Assurance maladie,-264.33
2026-01-04,Boulangerie,-7.77
2026-01-04,Netflix,-21.05
2026-01-06,Coop,-34.95
2026-01-07,Loyer appartement,-987.49
2026-01-07,Restaurant Le Central,-78.36
2026-01-08,Essence Shell,-73.08
2026-01-09,Cinema Pathe,-24.71
2026-01-11,Remboursement assurance,70.82
2026-01-11,Virement parents,168.0
2026-01-15,Zalando commande,-88.32
2026-01-15,Coop,-34.47
2026-01-16,Electricité Romande Energie,-69.59
2026-01-17,Zalando commande,-78.15
2026-01-18,Electricité Romande Energie,-87.3
2026-01-20,Virement parents,190.6
2026-01-21,Coop,-28.01
2026-01-22,Migros,-41.66
2026-01-22,Coop,-31.14
2026-01-27,Netflix,-14.49
2026-02-01,Zalando commande,-97.57
2026-02-03,Virement parents,216.55
2026-02-04,Pharmacie,-14.44
2026-02-04,Zalando commande,-99.09
2026-02-05,Restaurant Le Central,-75.93
2026-02-05,Restaurant Le Central,-67.74
2026-02-07,Spotify,-10.7
2026-02-07,Virement parents,162.51
2026-02-08,CFF billet train,-26.2
2026-02-09,Electricité Romande Energie,-80.19
2026-02-11,Loyer appartement,-762.1
2026-02-12,Assurance maladie,-354.85
2026-02-12,Essence Shell,-79.8
2026-02-13,Loyer appartement,-1080.92
2026-02-13,Zalando commande,-75.91
2026-02-13,CFF billet train,-21.59
2026-02-14,CFF billet train,-24.59
2026-02-15,Spotify,-11.05
2026-02-15,Essence Shell,-57.13
2026-02-23,Coop,-26.91
2026-02-24,Salaire job étudiant,863.5
2026-02-25,Cinema Pathe,-19.32
2026-03-01,Essence Shell,-81.39
2026-03-01,Assurance maladie,-318.06
2026-03-01,CFF billet train,-22.51
2026-03-02,Virement parents,172.9
2026-03-03,Remboursement assurance,56.46
2026-03-05,Coop,-34.83
2026-03-06,Netflix,-17.53
2026-03-06,CFF billet train,-25.27
2026-03-07,Remboursement assurance,53.93
2026-03-11,Netflix,-17.3
2026-03-12,Uber,-17.98
2026-03-17,Assurance maladie,-307.69
2026-03-21,Virement parents,214.46
2026-03-22,Pharmacie,-18.57
2026-03-24,Virement parents,181.55
2026-03-24,Zalando commande,-77.97
2026-03-24,Boulangerie,-7.41
2026-03-24,Pharmacie,-17.02
2026-03-25,Electricité Romande Energie,-95.48
2026-03-27,Essence Shell,-60.61
2026-03-27,Pharmacie,-18.71
2026-04-03,Uber,-19.73
2026-04-03,Loyer appartement,-990.44
2026-04-03,H&M,-37.83
2026-04-04,Remboursement assurance,55.82
2026-04-06,Pharmacie,-13.49
2026-04-07,Assurance maladie,-344.44
2026-04-10,Salaire job étudiant,994.4
2026-04-11,Salaire job étudiant,964.82
2026-04-11,Migros,-47.77
2026-04-12,Coop,-38.47
2026-04-16,Internet Swisscom,-61.96
2026-04-16,Restaurant Le Central,-61.06
2026-04-17,H&M,-45.99
2026-04-18,Salaire job étudiant,734.67
2026-04-19,Virement parents,216.89
2026-04-19,Assurance maladie,-291.7
2026-04-20,Remboursement assurance,63.48
2026-04-20,H&M,-51.24
2026-04-27,Migros,-38.88
2026-04-27,CFF billet train,-27.84
2026-05-01,Boulangerie,-9.66
2026-05-01,Coop,-30.18
2026-05-03,H&M,-41.05
2026-05-03,Cinema Pathe,-25.65
2026-05-03,Cinema Pathe,-26.11
2026-05-05,Zalando commande,-89.63
2026-05-06,Cinema Pathe,-22.79
2026-05-08,Spotify,-12.83
2026-05-09,Restaurant Le Central,-72.66
2026-05-12,Pharmacie,-12.75
2026-05-17,Loyer appartement,-1082.7
2026-05-17,Assurance maladie,-377.99
2026-05-20,Cinema Pathe,-20.46
2026-05-21,Migros,-37.52
2026-05-22,Virement parents,210.91
2026-05-27,Migros,-45.97
2026-06-01,Boulangerie,-9.96
2026-06-02,Zalando commande,-85.43
2026-06-04,Netflix,-18.78
2026-06-05,Zalando commande,-84.87
2026-06-06,Pharmacie,-12.71
2026-06-07,Spotify,-10.74
2026-06-08,Coop,-29.82
2026-06-08,Zalando commande,-97.07
2026-06-10,Coop,-28.94
2026-06-10,H&M,-45.95
2026-06-12,Migros,-51.13
2026-06-16,Loyer appartement,-1026.75
2026-06-18,Migros,-41.89
2026-06-20,Uber,-15.02
2026-06-22,Salaire job étudiant,889.1
2026-06-22,Migros,-38.63
2026-06-22,Virement parents,197.25
2026-06-23,Cinema Pathe,-25.43
2026-06-24,Restaurant Le Central,-70.42
2026-06-24,Restaurant Le Central,-61.82
2026-06-26,Electricité Romande Energie,-99.83
2026-07-01,Assurance maladie,-344.13
2026-07-01,Virement parents,200.25
2026-07-04,H&M,-50.52
2026-07-04,Electricité Romande Energie,-100.27
2026-07-05,Migros,-44.56
2026-07-07,Migros,-53.42
2026-07-10,H&M,-53.57
2026-07-10,Coop,-29.03
2026-07-13,H&M,-39.29
2026-07-15,Cinema Pathe,-18.41
2026-07-16,Restaurant Le Central,-61.59
2026-07-19,Virement parents,223.61
2026-07-20,Pharmacie,-14.42
2026-07-22,Migros,-44.16
2026-07-23,CFF billet train,-20.97
2026-07-23,CFF billet train,-25.07
2026-07-25,Virement parents,220.63
2026-07-26,CFF billet train,-23.75
